
0) Value  : 173.22620
1) Value  : 176.99996
2) Value  : 177.60131
3) Value  : 174.21521
4) Value  : 177.02259
5) Value  : 172.56723
6) Value  : 168.11830
7) Value  : 165.99809
8) Value  : 161.43979
9) Value  : 159.66454
10) Value  : 153.87749
11) Value  : 150.66954
12) Value  : 154.67072
13) Value  : 146.53219
14) Value  : 156.38187
15) Value  : 149.82094
16) Value  : 148.26597
17) Value  : 148.05051
18) Value  : 137.98509
19) Value  : 144.67470
20) Value  : 138.07528
21) Value  : 128.04542
22) Value  : 130.12107
23) Value  : 129.57579
24) Value  : 118.72119
25) Value  : 126.81666
26) Value  : 118.52365
27) Value  : 117.46933
28) Value  : 110.67281
29) Value  : 104.94372
30) Value  : 103.02258
31) Value  : 101.05375
32) Value  : 96.29382
33) Value  : 94.70277
34) Value  : 94.67049
35) Value  : 93.24919
36) Value  : 88.07528
37) Value  : 74.55371
38) Value  : 81.97308
39) Value  : 81.72742
40) Value  : 73.63054
41) Value  : 69.83684
42) Value  : 56.98985
43) Value  : 60.43333
44) Value  : 59.41203
45) Value  : 51.77386
46) Value  : 51.70634
47) Value  : 47.00731
48) Value  : 39.59482
49) Value  : 34.30875
50) Value  : 39.43386
51) Value  : 31.99652
52) Value  : 27.62415
53) Value  : 22.58955
54) Value  : 18.49216
55) Value  : 14.00155
56) Value  : 13.38450
57) Value  : 14.08414
58) Value  : 2.72303
59) Value  : 2.37646
60) Value  : 0.28523
61) Value  : 1.62691
62) Value  : -12.91779
63) Value  : -9.43995
64) Value  : -15.82699
65) Value  : -18.20696
66) Value  : -20.06958
67) Value  : -19.48176
68) Value  : -26.83999
69) Value  : -40.99375
70) Value  : -35.22446
71) Value  : -41.15603
72) Value  : -43.49769
73) Value  : -46.08188
74) Value  : -56.34021
75) Value  : -47.66737
76) Value  : -64.47379
77) Value  : -56.44084
78) Value  : -72.73445
79) Value  : -68.19832
80) Value  : -74.02551
81) Value  : -79.12974
82) Value  : -82.89762
83) Value  : -80.09053
84) Value  : -88.46678
85) Value  : -92.21668
86) Value  : -99.91120
87) Value  : -96.08537
88) Value  : -98.16987
89) Value  : -102.08848
90) Value  : -105.29101
91) Value  : -112.14012
92) Value  : -116.80309
93) Value  : -113.73682
94) Value  : -112.82801
95) Value  : -122.38623
96) Value  : -125.04580
97) Value  : -122.39391
98) Value  : -131.38041
99) Value  : -124.74592
100) Value  : -140.93524
101) Value  : -138.85039
102) Value  : -145.14967
103) Value  : -150.37530
104) Value  : -146.31000
105) Value  : -151.64018
106) Value  : -156.63458
107) Value  : -155.83847
108) Value  : -153.31715
109) Value  : -160.69201
110) Value  : -161.99239
111) Value  : -167.07721
112) Value  : -163.68324
113) Value  : -166.79867
114) Value  : -171.61619
115) Value  : -177.74434
116) Value  : -167.22961
117) Value  : -174.12833
118) Value  : -174.40789
119) Value  : -176.33819
120) Value  : -180.85952
121) Value  : -179.07654
122) Value  : -185.64798
123) Value  : -174.17660
124) Value  : -185.24993
125) Value  : -182.79045
126) Value  : -186.74351
127) Value  : -191.36421
128) Value  : -193.27438
129) Value  : -197.91647
130) Value  : -192.07173
131) Value  : -187.34998
132) Value  : -189.01938
133) Value  : -199.30308
134) Value  : -200.89322
135) Value  : -195.49596
136) Value  : -205.60093
137) Value  : -198.56776
138) Value  : -205.77789
139) Value  : -196.90061
140) Value  : -192.97074
141) Value  : -198.81879
142) Value  : -204.18618
143) Value  : -201.48368
144) Value  : -197.00178
145) Value  : -200.15524
146) Value  : -202.87292
147) Value  : -196.41840
148) Value  : -196.16038
149) Value  : -200.02378
150) Value  : -207.72710
151) Value  : -201.62223
152) Value  : -203.21020
153) Value  : -195.93911
154) Value  : -199.36317
155) Value  : -192.60790
156) Value  : -193.13337
157) Value  : -198.63320
158) Value  : -192.48749
159) Value  : -190.95597
160) Value  : -195.44474
161) Value  : -186.37706
162) Value  : -196.98462
163) Value  : -193.34005
164) Value  : -190.34750
165) Value  : -186.57352
166) Value  : -189.88025
167) Value  : -182.45558
168) Value  : -184.85904
169) Value  : -179.97295
170) Value  : -177.25371
171) Value  : -173.97041
172) Value  : -172.48533
173) Value  : -171.17481
174) Value  : -174.52341
175) Value  : -166.25627
176) Value  : -166.48917
177) Value  : -171.30697
178) Value  : -167.53304
179) Value  : -161.11898
180) Value  : -163.41816
181) Value  : -164.92234
182) Value  : -162.52108
183) Value  : -150.40254
184) Value  : -160.80086
185) Value  : -151.27915
186) Value  : -146.59265
187) Value  : -144.40654
188) Value  : -145.19163
189) Value  : -142.81856
190) Value  : -130.43957
191) Value  : -138.44120
192) Value  : -130.97986
193) Value  : -129.68765
194) Value  : -133.94429
195) Value  : -121.84906
196) Value  : -114.52208
197) Value  : -114.44431
198) Value  : -110.80919
199) Value  : -115.13575
200) Value  : -111.25676
201) Value  : -101.54099
202) Value  : -95.56563
203) Value  : -92.83276
204) Value  : -98.11700
205) Value  : -95.35640
206) Value  : -84.88973
207) Value  : -80.13791
208) Value  : -88.57799
209) Value  : -73.48081
210) Value  : -70.98965
211) Value  : -74.06563
212) Value  : -67.19294
213) Value  : -65.53202
214) Value  : -54.27149
215) Value  : -53.30825
216) Value  : -53.55035
217) Value  : -52.90383
218) Value  : -42.80178
219) Value  : -37.97082
220) Value  : -31.26190
221) Value  : -39.26437
222) Value  : -32.14790
223) Value  : -29.29341
224) Value  : -24.08695
225) Value  : -18.73916
226) Value  : -10.38959
227) Value  : -13.73079
228) Value  : -7.21001
229) Value  : -2.48475
230) Value  : -1.92000
231) Value  : 4.36673
232) Value  : 5.54958
233) Value  : 14.82362
234) Value  : 12.61756
235) Value  : 20.40699
236) Value  : 16.54748
237) Value  : 27.35431
238) Value  : 26.94456
239) Value  : 35.26781
240) Value  : 36.63452
241) Value  : 39.27788
242) Value  : 44.21068
243) Value  : 48.43172
244) Value  : 48.72233
245) Value  : 46.70154
246) Value  : 50.90919
247) Value  : 65.39215
248) Value  : 58.51508
249) Value  : 71.00207
250) Value  : 70.90318
251) Value  : 67.98270
252) Value  : 79.81957
253) Value  : 89.57803
254) Value  : 92.64671
255) Value  : 80.20187
256) Value  : 86.15607
257) Value  : 96.47617
258) Value  : 99.76633
259) Value  : 97.38815
260) Value  : 109.67313
261) Value  : 98.18248
262) Value  : 108.50012
263) Value  : 114.10805
264) Value  : 110.90807
265) Value  : 118.14957
266) Value  : 123.67828
267) Value  : 123.02527
268) Value  : 128.87990
269) Value  : 129.07490
270) Value  : 129.44997
271) Value  : 132.15146
272) Value  : 136.97403
273) Value  : 138.65828
274) Value  : 145.46179
275) Value  : 149.21237
276) Value  : 147.40917
277) Value  : 147.02026
278) Value  : 148.52977
279) Value  : 156.66934
280) Value  : 153.90718
281) Value  : 159.99094
282) Value  : 159.94396
283) Value  : 158.36069
284) Value  : 168.79344
285) Value  : 167.19954
286) Value  : 172.24156
287) Value  : 172.41386
288) Value  : 178.00735
289) Value  : 168.15275
290) Value  : 179.16295
291) Value  : 180.90420
292) Value  : 183.12442
293) Value  : 181.46035
294) Value  : 184.73107
295) Value  : 186.91507
296) Value  : 190.90365
297) Value  : 188.60219
298) Value  : 190.98717
299) Value  : 188.08327
300) Value  : 189.64256
301) Value  : 196.47729
302) Value  : 185.32369
303) Value  : 197.42575
304) Value  : 194.36650
305) Value  : 190.74879
306) Value  : 193.88999
307) Value  : 204.72072
308) Value  : 193.12865
309) Value  : 193.90806
310) Value  : 202.18003
311) Value  : 193.93049
312) Value  : 192.19531
313) Value  : 195.18682
314) Value  : 200.57329
315) Value  : 198.16032
316) Value  : 201.35264
317) Value  : 207.55206
318) Value  : 198.49515
319) Value  : 206.24394
320) Value  : 205.55812
321) Value  : 202.08304
322) Value  : 199.81580
323) Value  : 196.58218
324) Value  : 192.02162
325) Value  : 200.57413
326) Value  : 198.05664
327) Value  : 186.78199
328) Value  : 202.01681
329) Value  : 195.42491
330) Value  : 196.33010
331) Value  : 191.80689
332) Value  : 187.62215
333) Value  : 193.83429
334) Value  : 186.98189
335) Value  : 193.45901
336) Value  : 189.31929
337) Value  : 180.55013
338) Value  : 185.39941
339) Value  : 185.31460
340) Value  : 184.41843
341) Value  : 174.85777
342) Value  : 178.52185
343) Value  : 175.65382
344) Value  : 177.24620
345) Value  : 170.50808
346) Value  : 174.83982
347) Value  : 172.28422
348) Value  : 165.03234
349) Value  : 169.89742
350) Value  : 164.44240
351) Value  : 166.50259
352) Value  : 151.79429
353) Value  : 151.28706
354) Value  : 150.23427
355) Value  : 144.12971
356) Value  : 145.97818
357) Value  : 139.65732
358) Value  : 143.59177
359) Value  : 140.69028
360) Value  : 144.90960
361) Value  : 135.54330
362) Value  : 130.35576
363) Value  : 122.18162
364) Value  : 122.86345
365) Value  : 124.70588
366) Value  : 124.45637
367) Value  : 113.79733
368) Value  : 114.64050
369) Value  : 118.25347
370) Value  : 108.32972
371) Value  : 105.65179
372) Value  : 102.36305
373) Value  : 96.64796
374) Value  : 98.70494
375) Value  : 90.25862
376) Value  : 88.40623
377) Value  : 85.43449
378) Value  : 83.16716
379) Value  : 82.94206
380) Value  : 65.75239
381) Value  : 76.42978
382) Value  : 65.91549
383) Value  : 63.58732
384) Value  : 66.41040
385) Value  : 51.65854
386) Value  : 59.97106
387) Value  : 49.30324
388) Value  : 49.90667
389) Value  : 38.19749
390) Value  : 31.64879
391) Value  : 30.62352
392) Value  : 35.26821
393) Value  : 31.90878
394) Value  : 29.66268
395) Value  : 21.98608
396) Value  : 23.42125
397) Value  : 9.88537
398) Value  : 11.04990
399) Value  : 14.56445
400) Value  : -1.09068
401) Value  : 6.80602
402) Value  : -10.76404
403) Value  : -4.99919
404) Value  : -11.27179
405) Value  : -15.67583
406) Value  : -17.64093
407) Value  : -22.68285
408) Value  : -29.53481
409) Value  : -29.22867
410) Value  : -37.37235
411) Value  : -34.00377
412) Value  : -47.13059
413) Value  : -38.14754
414) Value  : -49.97907
415) Value  : -48.33151
416) Value  : -56.95806
417) Value  : -54.96782
418) Value  : -66.88352
419) Value  : -71.23514
420) Value  : -69.97136
421) Value  : -70.58396
422) Value  : -76.67096
423) Value  : -82.58793
424) Value  : -83.84975
425) Value  : -79.96230
426) Value  : -90.80112
427) Value  : -98.62667
428) Value  : -102.80257
429) Value  : -101.28863
430) Value  : -103.40638
431) Value  : -107.64372
432) Value  : -110.71300
433) Value  : -115.34663
434) Value  : -112.95040
435) Value  : -116.48516
436) Value  : -120.36774
437) Value  : -126.44181
438) Value  : -129.97494
439) Value  : -136.96913
440) Value  : -131.67297
441) Value  : -127.37505
442) Value  : -145.87894
443) Value  : -139.87731
444) Value  : -145.72081
445) Value  : -144.78838
446) Value  : -151.13622
447) Value  : -150.51602
448) Value  : -156.45997
449) Value  : -154.04847
450) Value  : -157.13035
451) Value  : -161.55857
452) Value  : -156.44561
453) Value  : -165.74155
454) Value  : -163.01890
455) Value  : -164.01436
456) Value  : -174.58594
457) Value  : -172.31523
458) Value  : -176.49206
459) Value  : -182.45150
460) Value  : -175.69200
461) Value  : -185.10563
462) Value  : -182.33321
463) Value  : -175.26194
464) Value  : -179.46238
465) Value  : -191.44103
466) Value  : -189.84579
467) Value  : -183.95673
468) Value  : -192.87150
469) Value  : -187.19403
470) Value  : -188.16931
471) Value  : -190.56953
472) Value  : -194.40736
473) Value  : -190.78971
474) Value  : -199.70016
475) Value  : -199.58639
476) Value  : -193.95515
477) Value  : -188.35026
478) Value  : -198.10408
479) Value  : -202.80068
480) Value  : -192.07619
481) Value  : -199.32211
482) Value  : -197.51336
483) Value  : -193.87225
484) Value  : -193.00991
485) Value  : -200.05650
486) Value  : -202.12827
487) Value  : -196.07794
488) Value  : -196.78118
489) Value  : -197.76412
490) Value  : -199.69414
491) Value  : -197.33186
492) Value  : -198.96892
493) Value  : -193.55038
494) Value  : -191.87195
495) Value  : -198.43075
496) Value  : -199.45049
497) Value  : -191.31315
498) Value  : -190.49487
499) Value  : -188.77548
500) Value  : -193.22038
501) Value  : -191.92912
502) Value  : -185.50422
503) Value  : -189.07022
504) Value  : -193.63654
505) Value  : -192.12947
506) Value  : -189.14658
507) Value  : -181.86770
508) Value  : -182.07979
509) Value  : -186.99679
510) Value  : -185.56713
511) Value  : -182.17107
512) Value  : -178.52157
513) Value  : -179.49294
514) Value  : -175.46654
515) Value  : -178.01409
516) Value  : -164.35373
517) Value  : -169.53908
518) Value  : -174.26426
519) Value  : -162.04905
520) Value  : -169.77379
521) Value  : -160.76498
522) Value  : -157.00223
523) Value  : -156.75185
524) Value  : -153.75211
525) Value  : -145.74129
526) Value  : -142.22217
527) Value  : -146.89898
528) Value  : -141.97603
529) Value  : -147.71364
530) Value  : -146.43239
531) Value  : -130.97589
532) Value  : -124.70369
533) Value  : -122.45541
534) Value  : -122.61476
535) Value  : -122.72180
536) Value  : -121.79453
537) Value  : -118.98526
538) Value  : -122.33101
539) Value  : -107.26078
540) Value  : -102.75542
541) Value  : -109.12961
542) Value  : -107.37045
543) Value  : -105.53509
544) Value  : -98.64266
545) Value  : -91.52691
546) Value  : -100.14377
547) Value  : -87.14482
548) Value  : -82.48195
549) Value  : -83.02707
550) Value  : -80.39957
551) Value  : -65.27700
552) Value  : -67.29768
553) Value  : -69.17829
554) Value  : -69.51418
555) Value  : -54.10421
556) Value  : -53.90435
557) Value  : -59.58817
558) Value  : -47.24116
559) Value  : -46.87743
560) Value  : -35.35700
561) Value  : -30.09287
562) Value  : -33.04916
563) Value  : -25.56387
564) Value  : -27.22232
565) Value  : -29.29632
566) Value  : -17.55271
567) Value  : -15.25917
568) Value  : -14.06228
569) Value  : -7.73486
570) Value  : -5.90537
571) Value  : 3.61127
572) Value  : 0.26076
573) Value  : 6.50470
574) Value  : 6.83487
