
0) Value  : -115.35458
1) Value  : -111.60379
2) Value  : -109.70846
3) Value  : -109.44384
4) Value  : -106.72147
5) Value  : -109.34328
6) Value  : -109.80602
7) Value  : -108.49485
8) Value  : -101.46962
9) Value  : -99.44749
10) Value  : -102.36205
11) Value  : -99.18708
12) Value  : -100.14139
13) Value  : -95.83736
14) Value  : -92.89465
15) Value  : -92.06122
16) Value  : -86.60743
17) Value  : -88.34667
18) Value  : -88.69830
19) Value  : -85.59200
20) Value  : -79.70230
21) Value  : -81.08844
22) Value  : -80.17181
23) Value  : -79.04711
24) Value  : -81.22388
25) Value  : -79.80421
26) Value  : -77.46800
27) Value  : -75.11759
28) Value  : -71.56449
29) Value  : -71.95887
30) Value  : -62.53583
31) Value  : -63.48623
32) Value  : -64.89353
33) Value  : -61.98278
34) Value  : -60.30162
35) Value  : -55.72978
36) Value  : -51.04337
37) Value  : -52.79876
38) Value  : -48.36735
39) Value  : -48.84589
40) Value  : -44.73204
41) Value  : -42.53406
42) Value  : -45.66607
43) Value  : -43.09199
44) Value  : -34.84184
45) Value  : -33.48335
46) Value  : -32.53755
47) Value  : -25.56355
48) Value  : -31.08097
49) Value  : -28.40383
50) Value  : -21.19541
51) Value  : -26.96865
52) Value  : -21.07301
53) Value  : -15.44095
54) Value  : -14.02970
55) Value  : -16.52260
56) Value  : -10.63580
57) Value  : -9.63376
58) Value  : -5.42767
59) Value  : 1.91234
60) Value  : -4.31304
61) Value  : -0.02644
62) Value  : 4.63527
63) Value  : 1.83378
64) Value  : 9.63582
65) Value  : 9.24321
66) Value  : 10.62519
67) Value  : 11.21798
68) Value  : 13.45579
69) Value  : 19.86501
70) Value  : 24.23524
71) Value  : 23.61329
72) Value  : 30.49743
73) Value  : 26.11823
74) Value  : 25.81433
75) Value  : 37.02592
76) Value  : 34.93550
77) Value  : 33.23108
78) Value  : 33.49119
79) Value  : 41.48002
80) Value  : 40.56641
81) Value  : 45.57466
82) Value  : 48.33786
83) Value  : 50.08516
84) Value  : 50.60553
85) Value  : 49.05401
86) Value  : 53.00243
87) Value  : 53.19840
88) Value  : 62.20908
89) Value  : 61.27374
90) Value  : 58.49866
91) Value  : 65.83244
92) Value  : 68.99800
93) Value  : 69.01748
94) Value  : 72.42135
95) Value  : 70.30795
96) Value  : 75.23780
97) Value  : 82.11151
98) Value  : 74.52512
99) Value  : 81.85808
100) Value  : 82.73921
101) Value  : 84.68165
102) Value  : 84.72096
103) Value  : 86.43913
104) Value  : 93.94319
105) Value  : 96.41038
106) Value  : 89.32787
107) Value  : 92.97967
108) Value  : 94.70673
109) Value  : 97.79312
110) Value  : 94.58046
111) Value  : 103.46300
112) Value  : 101.58269
113) Value  : 104.03991
114) Value  : 101.48759
115) Value  : 110.29733
116) Value  : 108.22299
117) Value  : 111.49858
118) Value  : 106.31483
119) Value  : 115.72537
120) Value  : 110.35455
121) Value  : 109.17655
122) Value  : 115.82628
123) Value  : 116.55462
124) Value  : 120.53090
125) Value  : 119.81694
126) Value  : 122.59412
127) Value  : 125.82740
128) Value  : 120.34353
129) Value  : 122.72532
130) Value  : 122.80691
131) Value  : 128.98344
132) Value  : 127.47985
133) Value  : 124.13690
134) Value  : 121.99510
135) Value  : 123.30540
136) Value  : 129.03018
137) Value  : 128.35233
138) Value  : 131.36782
139) Value  : 130.50203
140) Value  : 128.50496
141) Value  : 130.08987
142) Value  : 126.36487
143) Value  : 133.39123
144) Value  : 134.43077
145) Value  : 136.49937
146) Value  : 130.54689
147) Value  : 132.97264
148) Value  : 133.88348
149) Value  : 131.35884
150) Value  : 133.04996
151) Value  : 134.85727
152) Value  : 130.83155
153) Value  : 136.33879
154) Value  : 134.54472
155) Value  : 131.00911
156) Value  : 131.89562
157) Value  : 128.85294
158) Value  : 135.19302
159) Value  : 134.78237
160) Value  : 131.24765
161) Value  : 133.02509
162) Value  : 131.69731
163) Value  : 135.94508
164) Value  : 129.05982
165) Value  : 127.87793
166) Value  : 130.42291
167) Value  : 130.88400
168) Value  : 126.77704
169) Value  : 128.63790
170) Value  : 131.09069
171) Value  : 127.37210
172) Value  : 124.39546
173) Value  : 126.47492
174) Value  : 122.12845
175) Value  : 119.48317
176) Value  : 118.71633
177) Value  : 117.50021
178) Value  : 121.49637
179) Value  : 124.62428
180) Value  : 119.94838
181) Value  : 114.85302
182) Value  : 112.63576
183) Value  : 117.24145
184) Value  : 117.99378
185) Value  : 112.74744
186) Value  : 117.97902
187) Value  : 112.31151
188) Value  : 107.99508
189) Value  : 108.22111
190) Value  : 106.33004
191) Value  : 104.17394
192) Value  : 102.67038
193) Value  : 99.71490
194) Value  : 104.18964
195) Value  : 101.41840
196) Value  : 100.59796
197) Value  : 101.72476
198) Value  : 98.71644
199) Value  : 92.85534
200) Value  : 89.00632
201) Value  : 92.92333
202) Value  : 88.93624
203) Value  : 87.52645
204) Value  : 89.24490
205) Value  : 82.82026
206) Value  : 81.80676
207) Value  : 77.39868
208) Value  : 74.87908
209) Value  : 78.37139
210) Value  : 73.34448
211) Value  : 73.26110
212) Value  : 67.72972
213) Value  : 71.61524
214) Value  : 67.29237
215) Value  : 65.56524
216) Value  : 61.10714
217) Value  : 61.57126
218) Value  : 53.26817
219) Value  : 55.49566
220) Value  : 50.89569
221) Value  : 50.81882
222) Value  : 48.87159
223) Value  : 54.03986
224) Value  : 44.19541
225) Value  : 46.22519
226) Value  : 39.89477
227) Value  : 41.83999
228) Value  : 36.55250
229) Value  : 40.61405
230) Value  : 27.68469
231) Value  : 27.55652
232) Value  : 30.25828
233) Value  : 25.83877
234) Value  : 27.61919
235) Value  : 27.45931
236) Value  : 24.22883
237) Value  : 17.09341
238) Value  : 14.72101
239) Value  : 16.90387
240) Value  : 13.69212
241) Value  : 15.11443
242) Value  : 8.67853
243) Value  : 7.86465
244) Value  : 2.37289
245) Value  : 1.20654
246) Value  : -5.41725
247) Value  : -8.83587
248) Value  : -11.17424
249) Value  : -11.86924
250) Value  : -12.50470
251) Value  : -13.84749
252) Value  : -18.82147
253) Value  : -16.42067
254) Value  : -17.11601
255) Value  : -20.76255
256) Value  : -22.79518
257) Value  : -27.58264
258) Value  : -31.82771
259) Value  : -34.24785
260) Value  : -35.42357
261) Value  : -35.98350
262) Value  : -38.55823
263) Value  : -40.59872
264) Value  : -44.19585
265) Value  : -45.13256
266) Value  : -49.36079
267) Value  : -45.31616
268) Value  : -52.60319
269) Value  : -55.33221
270) Value  : -54.36301
271) Value  : -63.66219
272) Value  : -58.97274
273) Value  : -66.11627
274) Value  : -60.67277
275) Value  : -65.43117
276) Value  : -69.15978
277) Value  : -69.82599
278) Value  : -74.42987
279) Value  : -74.65224
280) Value  : -74.54866
281) Value  : -79.33899
282) Value  : -83.70941
283) Value  : -78.69350
284) Value  : -81.49773
285) Value  : -86.27191
286) Value  : -84.35022
287) Value  : -87.16699
288) Value  : -88.21404
289) Value  : -92.52762
290) Value  : -92.56283
291) Value  : -95.61042
292) Value  : -94.15559
293) Value  : -98.91927
294) Value  : -99.83826
295) Value  : -97.93015
296) Value  : -102.90787
297) Value  : -99.91268
298) Value  : -107.86794
299) Value  : -102.08594
300) Value  : -104.45264
